userName,content
Notaris Afdimar,berita nya cepat up date 
Dewi Sintia,aplikasi bangke  mau komentar artikel aja susah banget ditampilkannya  pas komentar mengandung sensitif  pikiran otak lo kali sensitif  skr enak komentar tiktok aja  
Asep Wahyudin,terpercaya reel ga hoax
Daryanto Daryanto,detikcom
mata hari,sedang
Wuryanto Wuryanto,berita berimbang update
Asiani SPd.I,iklannya menjengkelkan   
Kasep Bageur,sekarang turunkan    kenapa      karana buka detik langsung kepencet iklan ga ubahnya  jadi binun tau  
Efinurmaladewa Efinurmaladewa,lanjutkan     
Raksa Andriana,bila bintang  notifikasi    berita cuman  
pre agusta siswantoro,informatif cepat
Aditya Hanz,yah 
Wenny Effendi,semoga error lambat
Dhamir Fuadi,tdk bs akses kategori momen
Juragan Sahroni,sebenarnya suka baca detik udah bacaan wajib  akhir  hang  kayaknya gak diperbaiki dg developernya
Busyra Azwar Chaniago,beritanya akurat
Sigit Putra,mohon dipertahankan berita  yg terupdate berimbang  
Susy Wintary,kota pontianak mk         buah  mb                vbn                             bh dr yg cv cv ll kk
irsadunas irsadunas,berita nya up date hoaks
Danang,sangat membantu update informasi
Dilara arkana4,fast  
Marines Nendissa,berita aktual mantap
Mohammad Soifi,informatif dah update kalo berita baru  tampilan simple pengguna nyaman membaca berita
Poppy Nazmi Christanti,bagus  update beritanya
Pasific Cell,baca berita model  malam merusak mata sekian
Muhamad Sukamdi,foto wzsze
imram #,saya suka isi beritanya
Ganda Soaloan,sip beritanya
Ali Gomas,berita  cepat dan akurat
Jerry Seon,tidak netral
romi jelex,suka aplikasi nya aplikasi nya buruk aplikasi yg buruk berita olahraga berita pro jokowi aja aplikasi jelek gak netral   
Tjhin Ady farafat,berita bagus keren hebat terpecaya asik  suka 
Mas Gatot Mas Gatot,beritay dikirim ulang 
Soetrisno,cepat  ringkas akurat 
widi utami,satu nya aplikasi berita online yg hape saya 
Nur Ubaidillah,udah males bacanya liat komen  nya ga bikin adem  cm kebanyakan menghujat
Dian Firmansyah,padat berisi
aryanto brahmana,iklannya detik    
mohamad zain Fanany,informatif   
Djito Family,all ways acce 
Teguh Yuwono,well done
Sulis Rafky,menambah informasi kita  ada tambahan akurat pelaporan berita nya  terima kasih
Mur Salim,apk berita palaiang debets
Heri Doank,supaya ad pagi yg bagus
Nari Yanto,bermanfaat
